A0KYQ5	3.5.1.25
A0KYQ6	2.7.1.59
A0KYQ7	3.5.99.6
A0LEA5	2.6.1.83
A0LFF8	1.1.1.37
A0LR22	3.2.2.26
A0LRH8	3.5.4.40
A0QI26	2.5.1.6
A0QJI1	3.1.3.3
A0QLU8	2.7.2.1
A0QPD4	2.4.2.47
A0QPF9	2.7.7.24
A0QQ70	3.6.3.27
A0QQJ4	1.1.98.2
A0QQK1	2.7.2.1
A0QQZ8	2.4.1.250
A0QR01	2.7.13.3
A0QRD3	4.1.3.36
A0QS66	2.7.7.6
A0QSK5	5.1.3.13
A0QSK6	4.2.1.46
A0QSL8	2.7.7.6
A0QTF8	1.1.1.133
A0QU81	5.4.99.5
A0QUW7	6.5.1.2
A0QUZ4	2.7.7.68
A0QVQ8	1.4.1.1
A0QW28	2.4.2.47
A0QWG6	2.4.1.57
A0QWT1	2.7.7.6
A0QYS8	2.1.3.3
A0QZ42	6.3.2.n2
A0QZ46	3.4.25.1
A0QZ47	3.4.25.1
A0R043	2.4.1.57
A0R066	2.6.1.42
A0R0S4	2.5.1.86
A0R0W9	3.2.1.28
A0R1C2	1.4.1.2
A0R211	2.7.8.35
A0R2E6	2.4.1.266
A0R2W4	2.5.1.68
A0R2W9	3.5.1.115
A0R3C4	3.6.1.8
A0R3D3	3.1.1.29
A0R3H2	6.3.3.2
A0R3N5	5.4.99.5
A0R4R3	1.14.13.142
A0R4S9	1.3.99.4
A0R564	2.7.7.85
A0R5C5	5.1.3.2
A0R5M8	2.1.1.44
A0R5M9	3.5.1.118
A0R5T2	6.5.1.1
A0R5Z2	2.4.1.287
A0R607	1.1.98.3
A0R610	1.1.1.333
A1A048	3.2.1.156
A1A278	3.2.1.78
A1A399	3.2.1.23
A1ADJ6	2.3.1.136
A1B195	4.2.1.77
A1B196	1.5.1.49
A1BBM5	5.1.1.8
A2RH76	3.6.4.12
A2RH77	3.6.4.12
A2RIB7	1.6.99.3
A2RJT9	1.3.98.1
A3DDX7	1.4.1.16
A3DH67	3.2.1.176
A3DIH0	3.2.1.55
A3DK17	2.6.1.83
A3M4A9	5.1.1.8
A3PPJ8	5.1.1.8
A3QFI1	5.1.1.8
A3SK19	4.4.1.3
A4F7P3	2.4.1.278
A4F7P5	2.1.1.254
A4ISB9	1.1.1.192
A4IT49	1.5.1.45
A4VFY3	2.7.2.4
A4VJB4	2.7.2.4
A4VND8	1.8.2.2
A4WA78	4.2.1.8
A4X3Q0	2.5.1.94
A4XF23	4.2.1.8
A5F5Y3	2.7.1.180
A5F692	2.5.1.55
A5FB63	3.2.1.14
A5HZ59	1.5.1.24
A5HZZ9	3.4.24.69
A5IKD4	3.2.1.99
A5TY85	2.7.11.1
A5U029	2.1.1.79
A5U493	3.5.2.6
A5U4N0	2.7.1.20
A5U866	2.1.1.79
A5U8S6	4.1.1.11
A5V6Z0	4.2.1.8
A5VZY6	5.1.1.8
A6QDL6	1.1.1.27
A6QGB8	2.1.1.192
A6QGC0	2.7.11.1
A6QHR2	6.1.1.1
A6QJK4	2.7.13.3
A6QK89	1.1.1.27
A6T923	1.14.13.113
A6VKV4	4.1.1.49
A6VRA1	4.2.1.8
A6WW16	5.1.1.8
A6WXX7	5.1.1.8
A7HD43	2.7.13.3
A7MRY4	2.7.13.3
A7N6S2	2.7.13.3
A7Z4Y0	2.3.1.39
A8H392	4.2.1.77
A9AKH1	1.5.1.49
A9ALD3	1.5.1.49
A9AQW9	5.1.1.8
A9BEU2	2.4.1.268
A9BHI9	2.4.1.266
A9BHJ0	2.4.1.270
A9CH39	4.1.99.13
A9CIM3	2.7.8.24
A9CJC9	4.1.99.3
A9CK16	3.5.4.33
A9CKB4	5.1.1.8
A9KHK4	2.4.1.247
A9KIW5	2.4.1.211
A9KM56	2.4.1.282
A9KQ75	2.4.1.211
A9KT32	2.4.1.279
A9KTB9	3.2.1.67
A9WC34	4.2.1.148
A9WC36	5.4.1.3
A9WC41	4.2.1.153
A9WGE2	4.1.3.46
B0B9D1	2.1.1.297
B0RP51	2.7.1.90
B0T0B1	4.2.1.8
B0T4L2	4.2.1.8
B0VB44	5.1.1.8
B1ELW6	4.2.1.8
B1JL34	2.4.2.1
B1KJ76	4.2.1.77
B2HIL7	2.3.1.41
B2HP50	2.5.1.6
B2HPZ3	2.7.2.1
B2IZD3	3.6.5.5
B2J1M1	4.1.99.5
B2J4A4	4.2.3.90
B2J528	4.3.1.24
B2JF31	2.1.1.228
B2RLK2	3.4.22.47
B2UCA8	4.2.1.6
B3D6W2	5.1.1.8
B3PC73	3.2.1.131
B3PDB1	4.2.1.8
B3PEE6	2.4.1.161
B3PGJ1	3.2.1.22
B4EDA2	2.5.1.55
B4EHE6	5.1.1.8
B5F9P4	2.5.1.7
B5GS26	4.2.3.97
B5GW45	4.2.3.98
B5RAG0	4.2.1.8
B5XK69	4.2.1.53
B5ZA76	3.1.1.72
B7GPC7	3.2.1.96
B7JBP8	1.8.5.4
B8DZK4	5.1.3.11
B8GWS6	2.7.7.7
B8H1Z0	1.1.1.175
B8ZSN3	2.3.3.9
B8ZT86	5.4.2.11
B8ZUN3	2.5.1.78
B9E972	4.2.1.53
B9J8G8	5.1.1.8
B9J8S0	3.5.4.11
B9JHU6	5.1.1.8
B9JQV3	5.1.1.8
B9K4G4	4.2.1.77
B9K7M6	2.4.1.20
B9KDD4	2.4.99.19
C0H3U9	4.1.1.61
C0H3X7	2.3.2.3
C0QRP9	3.1.3.70
C0QRQ2	2.4.1.266
C0SPA0	3.2.1.41
C3JXY0	2.7.2.4
C5B2R8	1.5.1.47
C6CRV0	3.2.1.8
C6D9S0	4.2.1.8
C6L862	3.1.1.81
C8WJZ5	3.1.4.57
C8WV58	3.2.1.23
D0B707	2.7.8.24
D0ZLR2	4.1.2.14
D0ZLR3	4.3.1.29
D0ZV89	2.7.13.3
D2AV87	5.1.1.8
D2QN44	5.1.1.8
D3DFG8	3.1.3.3
D3DFP8	3.1.3.3
D3JV05	3.1.2.30
D3RVD4	1.8.2.2
D3T426	3.2.1.67
D4GJ14	4.2.1.39
D4ZX34	3.1.21.4
D4ZX35	2.1.1.37
D5AP78	2.1.1.210
D5E0A1	3.5.1.47
D5EV35	3.1.1.72
D5EXZ4	3.1.1.73
D5SQS4	5.1.1.8
D5WYQ5	1.8.2.2
D6XZ22	2.4.1.332
D7A0Y0	1.5.1.49
D7A0Y1	4.2.1.77
D7A0Y3	5.1.1.8
D7BPX0	4.2.1.39
D7GXF9	3.2.1.178
D7GXG0	3.2.1.178
D7GXG4	3.2.1.81
D9SM34	3.2.1.23
D9TT09	2.4.1.329
E0IWI3	4.1.1.20
E0J5J4	2.7.1.45
E0X9C7	2.7.13.3
E3PRJ4	5.4.3.4
E3PRJ5	5.4.3.4
E3PY95	5.4.3.5
E3PY96	5.4.3.5
E6UBR9	2.4.1.319
E6UIS7	2.4.1.281
E8ME30	1.1.1.27
E8MF10	5.1.3.2
E8MF11	2.7.7.12
E8MF12	2.7.1.162
E8MF13	2.4.1.211
E8MGH8	3.2.1.185
E8MGH9	3.2.1.187
F2JXJ3	1.4.3.20
F2MMP6	2.4.2.9
F8G0M4	1.14.13.163
F8JX40	1.2.1.69
G0FS68	2.7.1.179
G0L322	3.2.1.81
G1UBD1	1.14.18.3
G2JZ44	3.6.3.32
G2NFJ9	3.2.1.58
G3XD01	2.3.1.201
G3XD12	1.4.99.5
G3XD23	1.1.1.335
G3XD61	5.1.3.23
G3XD67	1.4.99.5
G3XD76	2.3.1.117
G3XD94	1.1.1.136
