DEBUG 2019-12-18 07:28:12,906 Processing target: libvirt-new
DEBUG 2019-12-18 07:28:25,753 Processing target: libvirt-new
DEBUG 2019-12-18 07:28:51,124 Processing target: libvirt-new
DEBUG 2019-12-18 07:29:27,699 Processing target: libvirt-new
DEBUG 2019-12-18 07:29:27,720 rundb_id: 1
DEBUG 2019-12-18 07:29:27,720 uhash: d8a071
DEBUG 2019-12-18 07:29:27,839 calling: preup
DEBUG 2019-12-18 07:29:27,839 hook preup initiated
DEBUG 2019-12-18 07:29:48,246 STATE - Unsuccessful provision of resource
DEBUG 2019-12-18 07:30:46,740 Processing target: libvirt-new
DEBUG 2019-12-18 07:30:46,758 rundb_id: 2
DEBUG 2019-12-18 07:30:46,758 uhash: 8261c6
DEBUG 2019-12-18 07:30:46,874 calling: preup
DEBUG 2019-12-18 07:30:46,874 hook preup initiated
DEBUG 2019-12-18 07:37:33,881 Processing target: libvirt-new
DEBUG 2019-12-18 07:37:33,893 rundb_id: 3
DEBUG 2019-12-18 07:37:33,893 uhash: 127402
DEBUG 2019-12-18 07:37:34,002 calling: preup
DEBUG 2019-12-18 07:37:34,002 hook preup initiated
DEBUG 2019-12-18 07:42:42,823 STATE - Unsuccessful provision of resource
DEBUG 2019-12-18 07:43:55,977 Processing target: libvirt-new
DEBUG 2019-12-18 07:43:55,984 rundb_id: 4
DEBUG 2019-12-18 07:43:55,984 uhash: cc8685
DEBUG 2019-12-18 07:43:56,086 calling: preup
DEBUG 2019-12-18 07:43:56,086 hook preup initiated
DEBUG 2019-12-18 07:48:43,048 Processing target: libvirt-new
DEBUG 2019-12-18 07:48:43,063 rundb_id: 5
DEBUG 2019-12-18 07:48:43,063 uhash: e393c0
DEBUG 2019-12-18 07:48:43,173 calling: preup
DEBUG 2019-12-18 07:48:43,173 hook preup initiated
DEBUG 2019-12-18 07:52:54,331 STATE - Unsuccessful provision of resource
DEBUG 2019-12-18 10:00:58,209 Processing target: libvirt-new
DEBUG 2019-12-18 10:01:39,881 Processing target: libvirt-new
DEBUG 2019-12-18 10:01:39,888 rundb_id: 6
DEBUG 2019-12-18 10:01:39,889 uhash: 9f2d78
DEBUG 2019-12-18 10:01:39,987 calling: preup
DEBUG 2019-12-18 10:01:39,987 hook preup initiated
DEBUG 2019-12-18 10:17:03,076 Processing target: libvirt-new
DEBUG 2019-12-18 10:17:03,089 rundb_id: 7
DEBUG 2019-12-18 10:17:03,089 uhash: 5922f8
DEBUG 2019-12-18 10:17:03,197 calling: preup
DEBUG 2019-12-18 10:17:03,197 hook preup initiated
DEBUG 2019-12-18 10:22:36,336 STATE - Unsuccessful provision of resource
DEBUG 2019-12-18 13:56:34,497 Processing target: libvirt-new
DEBUG 2019-12-18 13:56:34,505 rundb_id: 8
DEBUG 2019-12-18 13:56:34,505 uhash: aea569
DEBUG 2019-12-18 13:56:34,611 calling: preup
DEBUG 2019-12-18 13:56:34,612 hook preup initiated
DEBUG 2019-12-18 13:58:08,869 Processing target: libvirt-new
DEBUG 2019-12-18 13:58:08,881 rundb_id: 9
DEBUG 2019-12-18 13:58:08,881 uhash: d116e5
DEBUG 2019-12-18 13:58:08,989 calling: preup
DEBUG 2019-12-18 13:58:08,989 hook preup initiated
DEBUG 2019-12-18 13:59:05,904 STATE - Unsuccessful provision of resource
DEBUG 2019-12-18 14:11:59,338 Processing target: libvirt-new
DEBUG 2019-12-18 14:11:59,343 rundb_id: 10
DEBUG 2019-12-18 14:11:59,343 uhash: ffe984
DEBUG 2019-12-18 14:11:59,470 calling: preup
DEBUG 2019-12-18 14:11:59,470 hook preup initiated
DEBUG 2019-12-18 14:12:12,838 Processing target: libvirt-new
DEBUG 2019-12-18 14:12:12,851 rundb_id: 11
DEBUG 2019-12-18 14:12:12,851 uhash: a8cd08
DEBUG 2019-12-18 14:12:12,982 calling: preup
DEBUG 2019-12-18 14:12:12,983 hook preup initiated
DEBUG 2019-12-18 14:17:35,895 STATE - Unsuccessful provision of resource
DEBUG 2019-12-18 14:18:49,724 Processing target: libvirt-new
DEBUG 2019-12-18 14:18:49,732 rundb_id: 12
DEBUG 2019-12-18 14:18:49,733 uhash: 28d0c4
DEBUG 2019-12-18 14:18:49,845 calling: preup
DEBUG 2019-12-18 14:18:49,845 hook preup initiated
DEBUG 2019-12-18 14:24:12,919 STATE - Unsuccessful provision of resource
DEBUG 2020-01-29 14:37:59,916 Processing target: libvirt-new
DEBUG 2020-01-29 14:37:59,923 rundb_id: 13
DEBUG 2020-01-29 14:37:59,923 uhash: 531d2d
DEBUG 2020-01-29 14:38:00,035 calling: preup
DEBUG 2020-01-29 14:38:00,035 hook preup initiated
DEBUG 2020-01-29 14:41:33,311 Processing target: libvirt-custom-img
DEBUG 2020-01-29 14:41:33,319 rundb_id: 1
DEBUG 2020-01-29 14:41:33,319 uhash: 85b00d
DEBUG 2020-01-29 14:41:33,452 calling: preup
DEBUG 2020-01-29 14:41:33,453 hook preup initiated
DEBUG 2020-01-29 14:51:02,967 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:29:36,507 Processing target: libvirt-new
DEBUG 2020-01-30 10:29:36,513 rundb_id: 14
DEBUG 2020-01-30 10:29:36,514 uhash: a890c4
DEBUG 2020-01-30 10:29:36,646 calling: preup
DEBUG 2020-01-30 10:29:36,646 hook preup initiated
DEBUG 2020-01-30 10:34:38,235 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:34:38,247 rundb_id: 1
DEBUG 2020-01-30 10:34:38,247 uhash: 8fa033
DEBUG 2020-01-30 10:34:38,361 calling: preup
DEBUG 2020-01-30 10:34:38,361 hook preup initiated
DEBUG 2020-01-30 10:37:01,651 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:38:36,580 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:38:36,587 rundb_id: 2
DEBUG 2020-01-30 10:38:36,587 uhash: 07a23c
DEBUG 2020-01-30 10:38:36,715 calling: preup
DEBUG 2020-01-30 10:38:36,715 hook preup initiated
DEBUG 2020-01-30 10:38:56,473 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:40:48,827 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:40:48,835 rundb_id: 3
DEBUG 2020-01-30 10:40:48,836 uhash: d3730f
DEBUG 2020-01-30 10:40:48,940 calling: preup
DEBUG 2020-01-30 10:40:48,940 hook preup initiated
DEBUG 2020-01-30 10:41:10,987 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:43:17,433 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:43:17,446 rundb_id: 4
DEBUG 2020-01-30 10:43:17,446 uhash: bb3c77
DEBUG 2020-01-30 10:43:17,556 calling: preup
DEBUG 2020-01-30 10:43:17,557 hook preup initiated
DEBUG 2020-01-30 10:43:40,361 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:44:15,835 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:44:15,843 rundb_id: 5
DEBUG 2020-01-30 10:44:15,843 uhash: 76f912
DEBUG 2020-01-30 10:44:15,948 calling: preup
DEBUG 2020-01-30 10:44:15,948 hook preup initiated
DEBUG 2020-01-30 10:44:36,060 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:46:14,500 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:46:14,516 rundb_id: 6
DEBUG 2020-01-30 10:46:14,516 uhash: c3c066
DEBUG 2020-01-30 10:46:14,632 calling: preup
DEBUG 2020-01-30 10:46:14,632 hook preup initiated
DEBUG 2020-01-30 10:46:33,216 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:48:00,256 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:48:00,268 rundb_id: 7
DEBUG 2020-01-30 10:48:00,268 uhash: 3707e3
DEBUG 2020-01-30 10:48:00,382 calling: preup
DEBUG 2020-01-30 10:48:00,382 hook preup initiated
DEBUG 2020-01-30 10:48:20,913 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:50:04,320 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:50:04,325 rundb_id: 8
DEBUG 2020-01-30 10:50:04,325 uhash: f469f1
DEBUG 2020-01-30 10:50:04,458 calling: preup
DEBUG 2020-01-30 10:50:04,458 hook preup initiated
DEBUG 2020-01-30 10:50:23,252 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:51:17,138 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:51:17,146 rundb_id: 9
DEBUG 2020-01-30 10:51:17,146 uhash: 45e6e0
DEBUG 2020-01-30 10:51:17,255 calling: preup
DEBUG 2020-01-30 10:51:17,255 hook preup initiated
DEBUG 2020-01-30 10:51:24,346 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:51:46,120 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:51:46,132 rundb_id: 10
DEBUG 2020-01-30 10:51:46,132 uhash: c8cfce
DEBUG 2020-01-30 10:51:46,251 calling: preup
DEBUG 2020-01-30 10:51:46,252 hook preup initiated
DEBUG 2020-01-30 10:51:53,180 STATE - Unsuccessful provision of resource
DEBUG 2020-01-30 10:52:09,823 Processing target: libvirt-custom-xml
DEBUG 2020-01-30 10:52:09,831 rundb_id: 11
DEBUG 2020-01-30 10:52:09,831 uhash: f90b5d
DEBUG 2020-01-30 10:52:09,937 calling: preup
DEBUG 2020-01-30 10:52:09,937 hook preup initiated
INFO 2020-01-30 10:52:54,969 Playbook Return code 0
DEBUG 2020-01-30 10:52:54,970 STATE - Action 'up' on Target 'libvirt-custom-xml' is complete
DEBUG 2020-01-30 10:52:54,970 calling: postinv
DEBUG 2020-01-30 10:52:54,970 hook postinv initiated
DEBUG 2020-01-30 10:52:55,008 calling: postup
DEBUG 2020-01-30 10:52:55,008 hook postup initiated
DEBUG 2020-01-30 10:52:55,008 STATE - 
ID: 1
Action: up

Target              	Run ID	uHash	Exit Code 
-------------------------------------------------
libvirt-custom-xml  	    11	f90b5d	        0

DEBUG 2020-01-31 09:59:07,100 Processing target: libvirt-custom-xml
DEBUG 2020-01-31 09:59:07,134 rundb_id: 12
DEBUG 2020-01-31 09:59:07,134 uhash: 6ade4f
DEBUG 2020-01-31 09:59:07,255 STATE - Target 'libvirt-custom-xml' does not validate.  For more information run `linchpin validate`
DEBUG 2020-01-31 09:59:16,080 Processing target: libvirt-minimal
DEBUG 2020-01-31 09:59:16,143 Processing target: libvirt-new
DEBUG 2020-01-31 09:59:16,156 Processing target: libvirt-custom-xml
